id,judul,isi
30,"Natal 2025, warga DKI diimbau terus merawat harmoni dan solidaritas","Jakarta (ANTARA) - Kantor Wilayah Kementerian Agama (Kemenag) DKI Jakarta mengimbau umat Kristiani dan warga di Jakarta terus merawat harmoni, menghargai keragaman, memperkuat persaudaraan serta memupuk solidaritas. ""Terutama memupuk solidaritas bagi kawan kawan kita yang sedang menghadapi musibah di Aceh, Sumatera Utara, dan Sumatera Barat,"" kata Kepala Kantor Wilayah (Kanwil) Kemenag DKI Jakarta, Adib, saat dihubungi terkait rangka perayaan Natal 2025 di Jakarta, Kamis. Untuk penyambutan Tahun 2026, menurut Adib, sebaiknya dilakukan dengan penuh kesadaran dan empati terhadap masyarakat di Pulau Sumatera yang masih dalam situasi pemulihan pascabencana. Perayaan Natal tahun ini mengusung tema ""Allah Hadir untuk Menyelamatkan Keluarga"" yang menegaskan bahwa keluarga merupakan jantung kehidupan berbangsa. Menteri Agama Nasaruddin Umar mengajak umat Kristiani memaknai Natal kali ini sebagai panggilan untuk kembali merawat keluarga, yakni tempat pertama kasih, iman dan harapan dilahirkan. Menurut Menag, di tengah arus polarisasi, tekanan ekonomi dan dampak bencana yang masih dirasakan banyak keluarga, rumah harus kembali menjadi ruang aman bagi iman dan kemanusiaan. Di Jakarta, ajakan untuk mendoakan warga terdampak bencana banjir bandang dan tanah longsor d Aceh, Sumatera Utara, Sumatera Barat dan Jawa Tengah pun disuarakan. Salah satunya oleh Wakil Gubernur DKI Jakarta, Rano Karno. ""Kita tidak boleh menutup mata terhadap duka saudara-saudara kita. Mari kita panjatkan doa agar mereka diberi kekuatan dan harapan untuk bangkit kembali,” katanya saat menutup rangkaian ""Christmas Carol Colossal Tahun 2025"" di Jakarta Pusat, Selasa (23/12). Baca juga: Pengamanan gereja di Jakpus diperketat untuk pastikan Natal aman Baca juga: 4.296 personel Satpol PP siap amankan Jakarta selama libur Nataru Pewarta: Lia Wanadriani Santosa Editor: Sri Muryono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
31,"Akomodasi aspirasi publik, Jimly dorong kaji ulang konstitusi","Bahkan ada kalangan aktivis yang menulis buku tentang reset Indonesia. Sayangnya, diskusi buku itu justru dibubarkan. Padahal, yang dimaksud reset itu bukan destruktif, tetapi menata ulang sistem politik, sosial, dan ekonomi kita agar lebih sehat Jakarta (ANTARA) - Pakar hukum tata negara Jimly Asshiddiqie mendorong dilakukannya pengkajian ulang konstitusi, yakni Undang-Undang Dasar (UUD) Tahun 1945 guna mengakomodasi aspirasi publik yang mencuat belakangan ini. Menurut Jimly, kaji ulang reformasi, termasuk evaluasi menyeluruh terhadap sistem ketatanegaraan Indonesia, merupakan salah satu agenda yang perlu mendapat perhatian serius. “Bahkan ada kalangan aktivis yang menulis buku tentang reset Indonesia. Sayangnya, diskusi buku itu justru dibubarkan. Padahal, yang dimaksud reset itu bukan destruktif, tetapi menata ulang sistem politik, sosial, dan ekonomi kita agar lebih sehat,” kata Jimly, sebagaimana keterangan diterima di Jakarta, Kamis. Ia menyampaikan hal itu dalam forum dialog bertema “Rekonstruksi Konstitusi Menyongsong Indonesia Emas 2045: Peran Strategis MPR dalam Menjaga Ideologi Bangsa” yang diselenggarakan Sekretariat Jenderal MPR RI di Tangerang, Banten, Rabu (24/12). Dalam kesempatan itu, ia mengatakan berbagai peristiwa kerusuhan dan aksi kekerasan yang terjadi dalam rentang Agustus–September lalu mencerminkan akumulasi kemarahan dan kekecewaan publik terhadap sistem perwakilan formal dalam politik nasional. “Yang dibakar bukan hanya kantor polisi, tetapi juga kantor DPRD, bahkan terjadi penjarahan rumah anggota DPR. Ini menunjukkan adanya sumbatan serius dalam saluran aspirasi rakyat. Sistem politik kita harus dikaji ulang,” tutur mantan Ketua Mahkamah Konstitusi itu. Tidak hanya sistem politik, Ketua Komisi Percepatan Reformasi Polri ini juga menyoroti lemahnya penegakan hukum sebagai sumber utama kemarahan publik. Menurut dia, kemarahan masyarakat terhadap aparat kepolisian sejatinya bukan soal keamanan, melainkan soal keadilan dalam penegakan hukum. “Polisi itu bagian dari sistem penegakan hukum. Karena mereka berada di garis depan, merekalah yang pertama dimarahi. Padahal persoalannya sampai ke hulu, termasuk dunia kehakiman. Semua ini butuh pembenahan dan penataan ulang,” kata dia. Dia menilai, pembenahan tersebut harus dimulai dari evaluasi sistem konstitusi. Untuk itu, Jimly mendorong agar Indonesia mulai serius membahas agenda perubahan kelima UUDH 1945. “Mulai tahun 2026 dan 2027 adalah momentum yang sangat menentukan. Tahun 2028 sudah terlalu dekat dengan tahun politik sehingga pembahasan perubahan konstitusi akan sulit dilakukan,” ucapnya. Ditekankan Jimly, MPR RI dan partai-partai politik memiliki peran penting dalam mendorong agenda penataan ulang sistem politik nasional. Ia mengingatkan agar elite politik tidak menutup ruang diskusi publik, termasuk gagasan-gagasan kritis yang muncul dari kalangan akademisi dan aktivis. “Kita harus menggerakkan pikiran pimpinan partai politik untuk sungguh-sungguh melakukan tata ulang sistem politik. Jangan sampai diskusi ilmiah justru dilarang,” katanya mengingatkan. Bagi Jimly, perubahan konstitusi nantinya akan berdampak luas pada regulasi di bawahnya, mulai dari undang-undang pemilu, undang-undang partai politik, hingga berbagai peraturan pelaksana lainnya. “Jadi harus dimulai dari undang-undang dasarnya terlebih dahulu. Setelah itu baru undang-undang dan peraturannya disesuaikan. Kalau kita ingin Indonesia Emas 2045, fondasi konstitusinya harus kita benahi dari sekarang,” imbuhnya. Baca juga: Badan Pengkajian MPR soroti relevansi Pasal 30 UUD 45 di era modern Baca juga: Jimly beri buku tulisan pribadi tentang amandemen UUD 1945 ke Megawati Baca juga: Badan Pengkajian MPR bahas relevansi UUD untuk kesejahteraan rakyat Pewarta: Fath Putra Mulya Editor: Tasrief Tarmizi Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
32,Jamaat  Katedral Jakarta Misa Pontifikal Natal dengan tertib,"Jakarta (ANTARA) - Misa Pontifikal Natal yang digelar di Gereja Katedral Jakarta, Kamis, berjalan tertib dengan penerapan pengaturan jemaat dan prosedur keamanan yang ketat sejak kedatangan hingga pelaksanaan ibadah. Pantauan di lokasi menunjukkan jemaat datang sesuai antrean yang telah disiapkan panitia. Seluruh peserta, termasuk awak media, wajib menjalani proses registrasi dan skrining dengan mengisi identitas serta alamat secara daring melalui pemindaian kode batang yang disediakan panitia. Di halaman Katedral Jakarta, panitia menyiapkan tenda berwarna biru dengan kursi-kursi yang tersusun rapi untuk menampung jemaat. Sejumlah ornamen Natal menghiasi area tersebut, di antaranya replika pohon pinus dan miniatur atap rumah adat bernuansa coklat, yang dimanfaatkan jemaat untuk berfoto sebelum misa dimulai. Baca juga: Kardinal Suharyo pimpin Misa Pontifikal Natal di Katedral Jakarta Baca juga: Kardinal Suharyo: Umat Katolik galang dana bantu korban bencana Salah seorang jemaat, Hendri, yang datang dari Pematang Siantar, Sumatera Utara, mengatakan dirinya berharap perayaan Natal tahun ini membawa kesejahteraan bagi seluruh masyarakat Indonesia. Ia juga mendoakan pemulihan bagi warga terdampak bencana di Sumatera Utara, Aceh dan Sumatera Barat, serta ketabahan bagi keluarga yang kehilangan anggota keluarga maupun sumber penghidupan. ""Saya di sini pendatang. Dari Siantar bersama istri dan satu anak laki-laki saya. Doanya semoga sejahtera untuk kita semua. Juga untuk saudara kami di Sumatera Utara dan sekitarnya, yang Natal tahun ini sederhana, karena lagi musibah ya,"" kata Hendri. Panitia mengecek kode batang registrasi jamaat Misa Pontifikal Natal di Gereja Katedral Jakarta, Kamis (25/12/2025) ANTARA/M Riezko Bima Elko Prasetyo Misa Pontifikal Natal tersebut dipimpin oleh Uskup Agung Jakarta Kardinal Ignatius Suharyo pada pukul 08.30 WIB. Misa ini merupakan bagian dari rangkaian perayaan Natal yang diselenggarakan Gereja Katedral Jakarta sepanjang 25 Desember 2025. Humas Gereja Katedral Jakarta Susyana Suwadie mengatakan bahwa pihaknya telah melakukan persiapan maksimal untuk pelaksanaan Misa Natal yang digelar sebanyak empat kali dalam sehari. Setelah Misa Pontifikal, Gereja Katedral Jakarta menggelar Misa Keluarga pada pukul 11.00 WIB yang dipimpin Romo Yohanes Deodatus. Dalam misa tersebut, homili disampaikan dengan bahasa yang mudah dipahami oleh anak-anak. Baca juga: Menko PMK hingga Kapolri tinjau pelaksanaan Misa di Katedral Jakarta Baca juga: Katedral Jakarta siapkan kapasitas 5.000 orang untuk Natal 2025 “Homili akan disesuaikan dengan bahasa anak-anak agar mereka dapat mengerti tema Natal yang disampaikan. Tema Natal tetap mengacu pada pesan Natal bersama PGI dan KWI, yaitu Allah Hadir untuk Menyelamatkan Keluarga ,” kata Susyana. Rangkaian Misa Natal di Gereja Katedral Jakarta akan ditutup dengan Misa sore pada pukul 18.00 WIB yang dipimpin oleh Romo Hani Rudi Hartoko. Susyana menambahkan pesan Natal tahun ini menekankan pentingnya peran keluarga dalam menghadapi berbagai persoalan sosial yang terjadi di masyarakat. Menurut dia, sejumlah masalah, seperti perdagangan anak tidak terlepas dari peran dan ketahanan keluarga, sehingga pesan khusus dari Kardinal diharapkan dapat menjadi refleksi bersama bagi umat Pewarta: M. Riezko Bima Elko Prasetyo Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
33,Kardinal Pizzaballa: Pesan harapan bergema dari Gaza di Hari Natal,"Bethlehem, Palestina/Istanbul (ANTARA) - Patriark Latin Yerusalem, Kardinal Pierbattist Pizzaballa, menyatakan bahwa ""pesan ketahanan dan harapan"" menggema dari Jalur Gaza pada hari Natal meski wilayah tersebut luluh lantak akibat agresi Zionis Israel selama dua tahun. ""Hari ini, hati kami bersama Gaza yang luluh lantak,"" kata Pizzaballa saat tiba di Bethlehem, Tepi Barat, untuk menghadiri Misa Malam Natal, Rabu. ""Meski dengan semua yang terjadi, masyarakatnya masih punya semangat hidup, semangat bersukacita, dan keengganan menyerah begitu saja,"" ucap sang Patriark. Pizzaballa meyakini bahwa masyarakat Gaza, sebagaimana masyarakat di Bethlehem, akan membangun kembali hidup mereka meski di tengah kehancuran. ""Kita akan merayakan di Gaza dan Bethlehem. Kita akan terus merayakannya setiap hari dan kembali untuk membangun lagi dari awal,"" tutur dia. Sudah lebih dari 71.000 orang, kebanyakan wanita dan anak-anak, tewas dan 171.000 lainnya terluka akibat agresi Zionis Israel sejak Oktober 2023 yang meluluhlantakkan Jalur Gaza. Pasukan Zionis dan pemukim ilegal juga membunuh sekurangnya 1.103 warga Palestina dan melukai hampir 11.000 lainnya di Tepi Barat pada waktu yang sama. Gaza, seperti Bethlehem, ""membawa pesan keteguhan dan harapan"", kata Pizzaballa sembari menekankan bahwa keyakinan terhadap hidup dan perdamaian jauh lebih kuat daripada kehancuran. ""Hari ini menjadi Natal yang sejati di Bethlehem, dan pesan dari Bethlehem dan tanah Suci menyebar ke seluruh dunia,"" kata Kardinal Pizzaballa. Pada Rabu, otoritas Zionis melarang Wakil Presiden Palestina Hussein Al-Sheikh menghadiri Misa Malam Natal di Gereja Kelahiran Bethlehem. Bethlehem, yang dihormati sebagai tempat kelahiran Yesus Kristus, merupakan tujuan ziarah dan pariwisata utama bagi umat Kristen setiap Desember untuk perayaan Natal. Umat Kristen kerap memadati Gereja Kelahiran yang didirikan di atas sebuah gua yang diyakini oleh umat Kristen sebagai tempat di mana Maria melahirkan Yesus. Sumber: Anadolu Penerjemah: Nabil Ihsan Editor: Aditya Eko Sigit Wicaksono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
34,"Gus Yahya hadiri silaturahim di Lirboyo, penuhi undangan kiai sepuh","Jakarta (ANTARA) - Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU), Yahya Cholil Staquf memastikan memenuhi undangan silaturahim dari para kiai sepuh dan mustasyar Nahdlatul Ulama yang dijadwalkan berlangsung di Pondok Pesantren Lirboyo, Kediri, Kamis. Kepastian tersebut disampaikan setelah PBNU menerima surat undangan resmi bernomor 064/A/AZM/P2L/XII/2025 yang ditandatangani Pengasuh Pondok Pesantren Lirboyo, KH M. Anwar Manshur. Undangan itu ditujukan kepada Ketua Umum PBNU untuk hadir bersama jajaran Pengurus Tanfidziyah PBNU. Baca juga: Gus Yahya jelaskan soal kisruh PBNU ke kiai sepuh di Jombang “Kami telah menerima surat undangan dari Romo Kiai Anwar Manshur. Insya Allah saya hadir untuk memenuhi panggilan para kiai sepuh dan mustasyar. Ini merupakan bentuk ta’dzim (penghormatan) kami kepada para sesepuh, sekaligus komitmen untuk terus membuka ruang dialog dan mencari solusi terbaik bagi jamiyah,” ujar Gus Yahya dalam keterangannya di Jakarta, Kamis. Silaturahim di Lirboyo ini merupakan tindak lanjut dari rangkaian pertemuan para kiai sepuh dan mustasyar sebelumnya, yang digelar di Pondok Pesantren Al-Falah Ploso pada 30 November, Pondok Pesantren Tebuireng pada 6 Desember, serta Musyawarah Kubro di Pondok Pesantren Lirboyo pada 21 Desember 2025. Pertemuan tersebut dijadwalkan dimulai pukul 10.00 WIB dengan agenda utama “Silaturahim Bersama Mustasyar, Syuriah, dan Sesepuh Nahdlatul Ulama”. Gus Yahya menegaskan kehadirannya dalam forum ini sebagai komitmen organisasi untuk mengedepankan musyawarah dan islah dalam merespons serta menyelesaikan dinamika internal. Baca juga: Ketum PBNU sambut seruan islah para kiai sepuh Baca juga: Forum Sesepuh NU dorong islah selesaikan konflik di jajaran PBNU Gus Yahya berharap pertemuan ini menjadi momentum untuk menjernihkan suasana dan merumuskan jalan keluar yang bermartabat demi menjaga keutuhan serta soliditas Nahdlatul Ulama. “Sejak awal kami selalu membuka pintu dialog. Kehadiran kami di Lirboyo hari ini merupakan bukti konsistensi sikap tersebut. Semoga pertemuan ini membawa berkah dan maslahat bagi kita semua,” ujarnya. Pewarta: Asep Firmansyah Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
35,Satu Dekade Menuju Puncak Dunia: Geekvape Rayakan Ulang Tahun ke-10 dengan Menaklukkan Puncak Everest,"Shenzhen (ANTARA/Business Wire) – Dalam rangka merayakan ulang tahun ke-10, Geekvape berhasil mencapai puncak Gunung Everest setelah melalui berbulan-bulan persiapan, pelatihan, dan pendakian selama dua minggu. Lebih dari sekadar tindakan simbolis, pencapaian ini merupakan ujian nyata atas daya tahan, disiplin, dan keyakinan—nilai-nilai yang telah membentuk Geekvape selama satu dekade terakhir. Terinspirasi oleh Everest: Menghormati Alam, Menghargai Tantangan Bagi Geekvape, perjalanan ini dimulai jauh hari sebelumnya melalui perencanaan rute, penilaian lingkungan, pelatihan fisik, serta pengujian yang ketat—setiap tahapan menuntut kesabaran, ketelitian, dan rasa hormat yang mendalam terhadap alam. Konsep utama di balik Legend 5 10th Anniversary Limited Edition adalah “Everest Sunrise”. Geekvape mengadopsi warna-warna alami yang terinspirasi dari puncak tertinggi dunia dan menerapkannya secara langsung pada Legend 5 10th Anniversary Limited Edition. Hasilnya adalah skema warna yang mencerminkan keseimbangan antara tantangan dan pencapaian, kekuatan dan pengendalian diri. Produk ini dirancang sebagai penghormatan bagi setiap individu yang memilih untuk menantang diri sendiri, dengan keyakinan bahwa ketekunan selalu menghadirkan bentuk ganjarannya sendiri. Edisi Terbatas yang Mengabadikan Momen Langka Satu Dekade Sekali Sebagai peluncuran penutup resmi perayaan 10 tahun Geekvape, Legend 5 Limited Edition diproduksi dalam jumlah yang sangat terbatas. Dilengkapi detail eksklusif peringatan satu dekade serta sentuhan akhir premium, setiap unit merepresentasikan momen bersejarah dalam perjalanan Geekvape yang tidak akan terulang. Legend 5 10th Anniversary Limited Edition hadir dengan lapisan eksterior berbahan kulit, yang dipilih tidak hanya karena daya tahannya dan kenyamanan sentuhannya, tetapi juga karena kemampuannya menampilkan detail halus yang sarat makna. Pada permukaan kulit tersebut dicetak garis kontur, siluet pegunungan, dan jalur pendakian Everest yang diambil langsung dari topografi asli gunung tersebut. Saat jari menyentuh perangkat, pola timbul dan cekung yang halus membangkitkan kesan punggungan berlekuk dan jalur curam pendakian. Tekstur ini bukan sekadar elemen dekoratif—melainkan representasi langsung dari kondisi geografis Everest. Sebuah kompas juga disertakan dalam kemasan Legend 5 10th Anniversary sebagai bagian yang disengaja dari filosofi desain produk ini. Puncak Bukanlah Akhir Perjalanan Bagi Geekvape, pencapaian ini menandai satu dekade kemajuan—namun perjalanan terus berlanjut. Legend 5 melambangkan puncak dari dekade pertama tersebut, sebagai bukti bahwa persiapan dan ketekunan mampu mengubah ambisi menjadi pencapaian nyata. Warna Everest Sunrise, ukiran kontur, dan kompas yang terintegrasi mencerminkan semangat pendakian—menerjemahkan tantangan menjadi sebuah desain bermakna. Kontak: Hillary Jiang, hillary.jiang@geekvape.com Pewarta: PR Wire Editor: PR Wire Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
36,Zelenskyy minta gencatan senjata untuk referendum perdamaian Ukraina,"Moskow (ANTARA) - Presiden Ukraina Volodymyr Zelenskyy telah meminta gencatan senjata selama dua bulan supaya referendum terkait kesepakatan damai untuk mengakhiri perang dengan Rusia, menurut harian Dzerkalo Tyzhnia, Rabu. Zelenskyy memaparkan rencana perdamaian Ukraina itu dalam sebuah konferensi pers. Sementara, Rusia sudah berulang kali menegaskan bahwa mereka menginginkan perdamaian yang berkelanjutan, bukan sekadar gencatan senjata yang sporadis. ""Kami bisa mengadakan referendum. Sebuah referendum memerlukan sekurangnya 60 hari, dan kami perlu gencatan senjata yang nyata selama 60 hari,"" kata Zelenskyy, sebagaimana dikutip harian itu. ""Kalau tidak, kami tidak akan melaksanakannya. Artinya, referendum itu tidak akan sah,"" ucap Presiden Ukraina, menambahkan. Dengan pergerakan pasukan Rusia di garis depan peperangan, Zelenskyy beberapa kali menyerukan gencatan senjata. Ia sebelumnya berkata bahwa gencatan senjata merupakan syarat untuk melaksanakan pemilihan umum. Sementara itu, Amerika Serikat, sejak pertengahan November, telah mengajukan sebuah rencana perdamaian baru untuk Ukraina. Pada 2 Desember lalu, Presiden Rusia Vladimir Putin menerima duta khusus Presiden Trump, Steve Witkoff, beserta menantu Trump, Jared Kushner, di Kremlin. Kunjungan wakil AS ke Rusia tersebut adalah terkait dengan pembahasan rencana perdamaian AS untuk Ukraina. Kremlin menegaskan bahwa Rusia tetap terbuka untuk perundingan dan berkomitmen terhadap kesepakatan yang tercapai dalam pertemuan di Anchorage, Alaska. Sumber: Sputnik Penerjemah: Nabil Ihsan Editor: Aditya Eko Sigit Wicaksono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
37,SIM dan Samsat Keliling libur,"Jakarta (ANTARA) - Layanan SIM dan Sa msat Keliling yang disediakan oleh Direktorat Lalu Lintas Polda Metro Jaya diliburkan pada Hari Raya Natal 2025. Menurut informasi yang dikutip dari laman resmi @TMCPoldaMetro, Kamis, Satpas SIM Daan Mogot, Unit Satpas DK Jakarta, Unit Gerai SIM DK Jakarta dan Unit SIM Keliling diliburkan pada 25-26 Desember 2025. Masyarakat yang ingin mengurus perpanjangan SIM dapat kembali pada Sabtu 27 Desember mendatang. Bagi masyarakat yang tidak melaksanakan perpanjangan pada tanggal tersebut, akan melalui proses penerbitan SIM Baru. Sementara untuk layanan Samsat Keliling khusus di DKI Jakarta diliburkan dari 25-27 Desember dan akan dibuka kembali pada 29 hingga 31 Desember. Kemudian, Samsat Keliling Jakarta akan kembali libur pada Tahun Baru 1 Januari 2026 dan kembali melayani pada 2 Januari 2026. Hal serupa juga diterapkan di layanan Samsat Keliling untuk Jawa Barat dan Banten. Baca juga: Polrestro Jakut bakal dirikan delapan pos pada Operasi Lilin Jaya Baca juga: Kepolisian tingkatkan patroli jelang Natal 2024 dan Tahun Baru 2025 Pewarta: Lifia Mawaddah Putri Editor: Sri Muryono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
38,"Natal, harga cabai rawit merah Rp73.050/kg, telur ayam Rp33.050/kg","Jakarta (ANTARA) - Pusat Informasi Harga Pangan Strategis (PIHPS) Nasional, yang dikelola Bank Indonesia, mencatat harga pangan komoditas cabai rawit merah Rp73.050 per kilogram (kg), sedangkan telur ayam ras Rp33.050 per kg pada Kamis atau bertepatan dengan Hari Natal 2025. Berdasarkan data dari PIHPS yang dilansir di Jakarta, Kamis pukul 07.35 WIB selain cabai rawit merah dan telur ayam ras, tercatat harga pangan di tingkat pedagang eceran secara nasional lainnya, yakni bawang merah Rp52.300 per kg, lalu bawang putih di harga Rp40.250 per kg. Selain itu, beras kualitas bawah I di harga Rp14.400 per kg, beras kualitas bawah II Rp14.350 per kg. Sedangkan beras kualitas medium I Rp15.900 per kg, dan beras kualitas medium II di harga Rp15.800 per kg. Lalu, beras kualitas super I di harga Rp17.100 per kg, dan beras kualitas super II Rp16.650 per kg. Selanjutnya, PIHPS mencatat harga cabai merah besar mencapai Rp51.600 per kg, cabai merah keriting Rp54.950 per kg, dan cabai rawit hijau Rp62.300 per kg. Kemudian, daging ayam ras di harga Rp41.700 per kg, daging sapi kualitas I Rp142.150 per kg, daging sapi kualitas II di harga Rp134.400 per kg. Harga komoditas berikutnya yakni gula pasir kualitas premium tercatat Rp19.800 per kg, gula pasir lokal Rp18.200 per kg. Sementara itu, minyak goreng curah di harga Rp18.850 per liter, minyak goreng kemasan bermerek I di harga Rp22.500 per liter, serta minyak goreng kemasan bermerek II di harga Rp21.550 per liter. Baca juga: Bapanas-Bulog pastikan harga cabai-beras aman saat Natal-tahun baru Baca juga: PIHPS: Harga cabai rawit merah Rp52.850/kg, telur ayam Rp33.800/kg Baca juga: Mentan tegaskan tak ada toleransi bagi impor pangan ilegal Pewarta: Muhammad Harianto Editor: Kelik Dewanto Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
39,Antisipasi cuaca buruk untuk keamanan angkutan Nataru,"Saat Natal 2025 hingga Tahun Baru 2026, sejumlah wilayah di Indonesia diperkirakan diguyur hujan berintensitas tinggi. Pemerintah pun menyiapkan langkah antisipasi demi menjaga keamanan mobilitas masyarakat. Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
40,Khidmat Misa malam Natal di Tanah Air,"Jemaat menyalakan lilin saat melaksanakan ibadah malam Natal di GPIB Immanuel, Jakarta, Rabu (24/12/2025). Gereja ..."
41,"Di ujung tahun, wajah wisata diuji","Mataram (ANTARA) - Libur Natal dan Tahun Baru 2026 telah tiba, dan denyut pariwisata di Nusa Tenggara Barat (NTB) kembali terasa menguat. Bandara, pelabuhan, jalan-jalan utama, hingga kawasan wisata dipadati arus manusia yang memilih menutup tahun dengan melakukan perjalanan. Di Pulau Lombok dan Sumbawa, libur akhir tahun selalu menjadi etalase paling terang bagi wajah pariwisata daerah. Inilah momen ketika promosi tidak lagi sebatas slogan, melainkan diuji langsung oleh pengalaman wisatawan. Tahun ini, promosi wisata NTB berada pada fase yang berbeda. Ia tidak lagi bertumpu pada satu ikon semata. Mandalika tetap menjadi magnet utama, tetapi ruang-ruang lain ikut bergerak. Kota Tua Ampenan, pantai-pantai urban Mataram, desa wisata, hingga kawasan konservasi mulai mengisi narasi. Tema yang menguat menjelang Natal dan Tahun Baru 2026 adalah wisata berbasis pengalaman ruang publik, keberlanjutan, dan kemudahan akses. Inilah wajah promosi yang lebih kekinian, sekaligus lebih menantang. Hanya saja, pertanyaannya tetap sama: apakah promosi ini sudah menjawab kebutuhan wisatawan masa kini, atau masih terjebak pada euforia momentum? Pengalaman Sirkuit Mandalika kembali menjadi contoh paling jelas dari perubahan pendekatan promosi. Program ""Mandalika Experience"" membuka sirkuit balap kelas dunia itu sebagai ruang wisata harian. Wisatawan tidak lagi sekadar menonton balapan dari layar atau tribun, tetapi diajak masuk, berjalan, bersepeda, bahkan mengelilingi lintasan dengan kendaraan pribadi. Sirkuit berubah fungsi menjadi ruang publik rekreatif. Ini adalah bentuk promosi yang relevan dengan tren global. Wisatawan modern mencari pengalaman autentik, partisipatif, dan bisa dibagikan secara visual. Mandalika menawarkan itu. Namun, keberhasilan promosi berbasis pengalaman tidak bisa berdiri sendiri. Ia menuntut ekosistem pendukung yang solid, mulai dari transportasi, keamanan, hingga keterhubungan dengan objek wisata sekitar. Di sinilah promosi NTB mulai melebar. Kota Mataram memastikan objek wisata dan ruang publik tetap terbuka selama libur tahun baru. Kota Tua dan Pantai Ampenan diposisikan sebagai ruang temu warga dan wisatawan. Tanpa pesta kembang api besar, kota justru menawarkan pengalaman yang lebih sederhana dan reflektif. Promosi semacam ini tidak gaduh, tetapi menyentuh kebutuhan wisatawan keluarga dan urban yang ingin menikmati liburan, tanpa hiruk-pikuk berlebihan. Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
